"FA","bmi","wc","wh"
"dbi1",0.319229404366531,0.261495806214102,0.871952668307099
"dbi2",0.0959566715024073,0.270298831785176,0.243116881618742
"dbi3",0.00186499911518941,0.0338711762088602,0.0276271768481832
"dbi4",0.991263550476576,0.606522086512583,0.194792952814122
"dbi5",0.00863420509484537,0.158574818209307,0.201175595988304
"dbi6",0.000473006384617067,0.000385241551121351,0.0965139587301442
"dbi7",0.00728479513302607,0.0838591417778637,0.813350937033478
"lbs",0.0154083648748679,0.38035678641418,0.507437496510141
"hbs",0.00223232809631003,0.0260833041039614,0.379538181391487
"dqd",0.000494317336838829,0.0698056022307803,0.333653619463626
